Cake Name,Calories,Serving Size,Bake Time (minutes),Peanuts?,Vegan friendly?,,
Angel Food Cake with Toasted Almonds,219.1,12,35,Yes,No,,
Yellow Angel Food Cake,171.1,12,60,No,No,,https://www.allrecipes.com/recipe/7877/yellow-angel-food-cake/#nutrition
Chocolate Angel Food Cake I,179,14,60,no,no,,https://www.allrecipes.com/recipe/8252/chocolate-angel-food-cake-i/
Cherry Angel Food Cake,143,12,50,yes,no,,https://www.allrecipes.com/recipe/25981/cherry-angel-food-cake/
Heavenly Raspberry Dessert,357,10,120,no,yes,,https://www.allrecipes.com/recipe/244321/heavenly-raspberry-dessert/
Banana Angel Food Cake,170,12,60,mp,no,,https://www.allrecipes.com/recipe/7634/banana-angel-food-cake/
